2010 TO 2020
-------#####------->    idmr
idmr-archive@lists.ietf.org 345
idmr-archive@ietf.org 268
idr-bounces@ietf.org 50
idn-archive@lists.ietf.org 40
ieprep-bounces@ietf.org 32
idwg-archive@lists.ietf.org 23
digital-no-reply@amazon.com 22
ieprep-owner@ietf.org 16
delivers@amazon.com 15
iaoc@ietf.org 15
ieprep-request@ietf.org 15
iesg-bounces@ietf.org 15
hiccup@ietf.org 11
hosts@ietf.org 11
iab-execd@ietf.org 11
iesg-agenda-dist@ietf.org 11
ietf-secretariat@ietf.org 11
ima@ietf.org 11
imrg-admin@ietf.org 11
imrg-request@ietf.org 11
ipcdn-owner@ietf.org 11
isis-update-request@ietf.org 11
lemonade-admin@ietf.org 11
lemonade@ietf.org 11
mailman-owner@ietf.org 11
marcia@ietf.org 11
i-d-announce-owner@ietf.org 10
idr@ietf.org 10
idn-archive@ietf.org 9
idr-admin@ietf.org 8
idr-chairs@ietf.org 8
idr-owner@ietf.org 8
idr-request@ietf.org 8
idsubmission@ietf.org 8
idwg-archive@ietf.org 8
info@webmaster.org 7
noreply@pfizer.com 7
comercial@francisco-oliveira.com 6
info@systemuadministrator.pl 6
icalendar@ietf.org 5
ieprep-admin@ietf.org 5
ieprep@ietf.org 5
introductions@sksmedialondon.co.uk 5
issll-archive@lists.ietf.org 5
iab-chair@ietf.org 4
iesg-agenda-dist-bounces@ietf.org 4
iesg-agenda-dist-owner@ietf.org 4
iesg-agenda-dist-request@ietf.org 4
info@webmaster.pl 4
account-update-noreply@google.com 3
